epoch,train_loss,val_psnr,val_ssim,val_hdrvdp2,val_hdrvdp3
1,0.030305,2.9820,0.0074,93.3278,3.7862
2,0.017567,3.0548,0.0082,93.0210,2.9119
3,0.013554,3.3998,0.0075,93.2135,3.2662
4,0.010973,4.7807,0.0261,93.4656,3.5784
5,0.008721,6.1877,0.2406,93.7283,4.0322
6,0.007530,6.9076,0.3218,93.7578,4.2372
7,0.006422,6.0436,0.1991,94.0370,4.2269
8,0.005374,5.2502,0.1181,94.1359,4.1542
9,0.004437,6.4435,0.2212,93.8589,4.1522
10,0.003641,7.7511,0.4700,93.9596,3.5916
11,0.003462,6.5951,0.2308,94.0796,4.1620
12,0.003165,6.3270,0.2006,93.9849,4.1281
13,0.002829,6.6321,0.2227,94.0130,3.7876
14,0.002463,6.9092,0.2490,93.9125,3.6529
15,0.002319,6.7078,0.2484,93.9314,3.6390
16,0.002337,6.1760,0.1910,93.9615,3.8118
17,0.002418,5.2437,0.0897,94.0848,4.0645
18,0.002749,7.5456,0.4229,93.9153,3.6437
19,0.002452,7.9734,0.4826,93.8706,3.5864
20,0.002048,7.8748,0.4687,93.8953,3.6991
21,0.002007,7.1581,0.3158,93.9056,3.7795
22,0.001907,6.2964,0.2029,94.0039,4.0867
23,0.001890,7.3488,0.3805,93.9439,4.0291
24,0.001689,7.7907,0.4594,93.8555,3.9989
25,0.001396,7.9323,0.4626,93.8695,4.0227
26,0.001826,6.7575,0.2315,93.8131,4.1399
27,0.001506,6.3124,0.2090,93.8505,4.1515
28,0.001837,7.6903,0.4263,93.8964,4.1065
29,0.001705,7.9897,0.4838,93.8412,3.9820
30,0.001520,7.2890,0.3851,93.8061,4.1815
