epoch,train_loss,val_psnr,val_ssim,val_hdrvdp2,val_hdrvdp3
1,nan,nan,0.4515,0.0000,0.0000
2,nan,nan,0.3612,0.0000,0.0000
3,0.058205,nan,0.2696,0.0000,0.0000
4,0.044143,nan,0.2668,0.0000,0.0000
5,0.070888,nan,0.2830,0.0000,0.0000
6,0.072850,nan,0.2953,0.0000,0.0000
7,0.079726,nan,0.2386,0.0000,0.0000
8,0.084659,nan,0.2420,0.0000,0.0000
9,0.090697,nan,0.2446,0.0000,0.0000
10,0.127118,nan,0.2511,0.0000,0.0000
11,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan
14,nan,nan,nan,nan,nan
15,nan,nan,nan,nan,nan
16,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan
