[Stage2-LORCD] timesteps=100 base_ch=64 latent_ch=4 vae_warmup=0 (train from scratch)
[warm_start] Loaded weights from /home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/experiments/stage2_cold_lorcd_v3/best_epoch_30.pt (prior run best PSNR=11.3626). Starting fresh at epoch 1; best tracking reset for this checkpoint_dir.
[Stage2-LORCD] VAE/MLN frozen from start (lr=5.00e-05, cosine schedule).
[Stage2] train=7829 val=1957 smoke_test=False
  Metrics (FHDR/test.py PSNR-μ + SSIM): /home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/experiments/stage2_cold_lorcd_v6/training_metrics.csv
  Trial val before epoch 1: True

============================================================
Trial validation before epoch 1 (5 images)
============================================================

Validation:   0%|          | 0/5 [00:00<?, ?it/s]/home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/model/training_scripts/common_training.py:126: RuntimeWarning: invalid value encountered in divide
  scaled_mantissa = mantissa * 255.0 / brightest
/home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/model/training_scripts/common_training.py:128: RuntimeWarning: invalid value encountered in cast
  rgbe[..., 0:3] = np.around(norm_image[..., 0:3] * scaled_mantissa[..., None])

Validation:  20%|██        | 1/5 [00:00<00:03,  1.31it/s]/home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/model/training_scripts/common_training.py:126: RuntimeWarning: invalid value encountered in divide
  scaled_mantissa = mantissa * 255.0 / brightest
/home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/model/training_scripts/common_training.py:128: RuntimeWarning: invalid value encountered in cast
  rgbe[..., 0:3] = np.around(norm_image[..., 0:3] * scaled_mantissa[..., None])

Validation:  40%|████      | 2/5 [00:00<00:01,  2.35it/s]
Validation:  60%|██████    | 3/5 [00:01<00:00,  3.17it/s]
Validation:  80%|████████  | 4/5 [00:01<00:00,  3.87it/s]
Validation: 100%|██████████| 5/5 [00:01<00:00,  4.41it/s]
Validation: 100%|██████████| 5/5 [00:01<00:00,  3.34it/s]
  Trial PSNR/SSIM/H2/H3: 7.6389 / 0.4754 / 0.0000 / 0.0000
  Exports: /home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/experiments/stage2_cold_lorcd_v6/validation_results/epoch_0
  Metrics CSV updated: /home/user/Desktop/Deep_learning_projects/Hrishav_sir_project/Hrishav_Sir_FHDR/TriGate-HDR/experiments/stage2_cold_lorcd_v6/training_metrics.csv
============================================================


Stage2 Cold 1/80:   0%|          | 0/7829 [00:00<?, ?it/s][Stage2-LORCD] VAE/MLN frozen — optimizer rebuilt for cold UNet only (lr=5.00e-05).
[Stage2-LORCD] VAE warmup done — cleared CUDA cache before full cold training.

Stage2 Cold 1/80:   0%|          | 0/7829 [00:00<?, ?it/s, loss=0.8455, hdr=0.0161, cold=0.0159]
Stage2 Cold 1/80:   0%|          | 1/7829 [00:00<1:05:44,  1.98it/s, loss=0.8455, hdr=0.0161, cold=0.0159]
Stage2 Cold 1/80:   0%|          | 1/7829 [00:00<1:05:44,  1.98it/s, loss=1.0282, hdr=0.0054, cold=0.0172]
Stage2 Cold 1/80:   0%|          | 1/7829 [00:00<1:05:44,  1.98it/s, loss=1.1101, hdr=0.0043, cold=0.0158]
Stage2 Cold 1/80:   0%|          | 1/7829 [00:00<1:05:44,  1.98it/s, loss=1.0540, hdr=0.0048, cold=0.0054]
Stage2 Cold 1/80:   0%|          | 4/7829 [00:00<17:17,  7.54it/s, loss=1.0540, hdr=0.0048, cold=0.0054]  
Stage2 Cold 1/80:   0%|          | 4/7829 [00:00<17:17,  7.54it/s, loss=1.0221, hdr=0.0181, cold=0.0432]
Stage2 Cold 1/80:   0%|          | 4/7829 [00:00<17:17,  7.54it/s, loss=1.0360, hdr=0.0073, cold=0.0260]
Stage2 Cold 1/80:   0%|          | 4/7829 [00:00<17:17,  7.54it/s, loss=1.0126, hdr=0.0064, cold=0.0803]
Stage2 Cold 1/80:   0%|          | 7/7829 [00:00<11:13, 11.62it/s, loss=1.0126, hdr=0.0064, cold=0.0803]
Stage2 Cold 1/80:   0%|          | 7/7829 [00:00<11:13, 11.62it/s, loss=1.0092, hdr=0.0314, cold=0.0689]
Stage2 Cold 1/80:   0%|          | 7/7829 [00:00<11:13, 11.62it/s, loss=0.9953, hdr=0.0199, cold=0.0395]
Stage2 Cold 1/80:   0%|          | 7/7829 [00:00<11:13, 11.62it/s, loss=1.0192, hdr=0.4870, cold=0.0575]
Stage2 Cold 1/80:   0%|          | 10/7829 [00:00<08:56, 14.57it/s, loss=1.0192, hdr=0.4870, cold=0.0575]
Stage2 Cold 1/80:   0%|          | 10/7829 [00:00<08:56, 14.57it/s, loss=0.9998, hdr=0.0111, cold=0.0594]
Stage2 Cold 1/80:   0%|          | 10/7829 [00:01<08:56, 14.57it/s, loss=1.0267, hdr=0.0729, cold=0.0139]
Stage2 Cold 1/80:   0%|          | 10/7829 [00:01<08:56, 14.57it/s, loss=1.0138, hdr=0.0078, cold=0.0222]
Stage2 Cold 1/80:   0%|          | 13/7829 [00:01<07:47, 16.71it/s, loss=1.0138, hdr=0.0078, cold=0.0222]
Stage2 Cold 1/80:   0%|          | 13/7829 [00:01<07:47, 16.71it/s, loss=0.9909, hdr=0.0231, cold=0.0965]
Stage2 Cold 1/80:   0%|          | 13/7829 [00:01<07:47, 16.71it/s, loss=1.0027, hdr=0.0584, cold=0.0535]
Stage2 Cold 1/80:   0%|          | 13/7829 [00:01<07:47, 16.71it/s, loss=0.9638, hdr=0.0062, cold=0.0557]
Stage2 Cold 1/80:   0%|          | 16/7829 [00:01<07:09, 18.20it/s, loss=0.9638, hdr=0.0062, cold=0.0557]
Stage2 Cold 1/80:   0%|          | 16/7829 [00:01<07:09, 18.20it/s, loss=0.9329, hdr=0.0033, cold=0.0581]
Stage2 Cold 1/80:   0%|          | 16/7829 [00:01<07:09, 18.20it/s, loss=0.9285, hdr=0.0091, cold=0.0124]
Stage2 Cold 1/80:   0%|          | 16/7829 [00:01<07:09, 18.20it/s, loss=0.9204, hdr=0.0160, cold=0.0597]
Stage2 Cold 1/80:   0%|          | 19/7829 [00:01<06:45, 19.28it/s, loss=0.9204, hdr=0.0160, cold=0.0597]
Stage2 Cold 1/80:   0%|          | 19/7829 [00:01<06:45, 19.28it/s, loss=0.9173, hdr=0.0104, cold=0.0650]
Stage2 Cold 1/80:   0%|          | 19/7829 [00:01<06:45, 19.28it/s, loss=0.8943, hdr=0.0084, cold=0.0513]
Stage2 Cold 1/80:   0%|          | 19/7829 [00:01<06:45, 19.28it/s, loss=0.8959, hdr=0.0136, cold=0.0175]
Stage2 Cold 1/80:   0%|          | 22/7829 [00:01<06:29, 20.03it/s, loss=0.8959, hdr=0.0136, cold=0.0175]
Stage2 Cold 1/80:   0%|          | 22/7829 [00:01<06:29, 20.03it/s, loss=0.8897, hdr=0.0134, cold=0.0446]
Stage2 Cold 1/80:   0%|          | 22/7829 [00:01<06:29, 20.03it/s, loss=0.8854, hdr=0.0100, cold=0.0133]
Stage2 Cold 1/80:   0%|          | 22/7829 [00:01<06:29, 20.03it/s, loss=0.8860, hdr=0.0072, cold=0.0105]
Stage2 Cold 1/80:   0%|          | 25/7829 [00:01<06:18, 20.59it/s, loss=0.8860, hdr=0.0072, cold=0.0105]
Stage2 Cold 1/80:   0%|          | 25/7829 [00:01<06:18, 20.59it/s, loss=0.9035, hdr=0.1945, cold=0.0361]
Stage2 Cold 1/80:   0%|          | 25/7829 [00:01<06:18, 20.59it/s, loss=0.9015, hdr=0.0101, cold=0.0285]
Stage2 Cold 1/80:   0%|          | 25/7829 [00:01<06:18, 20.59it/s, loss=0.9040, hdr=0.0218, cold=0.0491]
Stage2 Cold 1/80:   0%|          | 28/7829 [00:01<06:12, 20.96it/s, loss=0.9040, hdr=0.0218, cold=0.0491]
Stage2 Cold 1/80:   0%|          | 28/7829 [00:01<06:12, 20.96it/s, loss=0.9036, hdr=0.0158, cold=0.0417]
Stage2 Cold 1/80:   0%|          | 28/7829 [00:01<06:12, 20.96it/s, loss=0.9033, hdr=0.0077, cold=0.0179]
Stage2 Cold 1/80:   0%|          | 28/7829 [00:01<06:12, 20.96it/s, loss=0.9078, hdr=0.0067, cold=0.0058]
Stage2 Cold 1/80:   0%|          | 31/7829 [00:01<06:10, 21.06it/s, loss=0.9078, hdr=0.0067, cold=0.0058]
Stage2 Cold 1/80:   0%|          | 31/7829 [00:01<06:10, 21.06it/s, loss=0.9009, hdr=0.0164, cold=0.0505]
Stage2 Cold 1/80:   0%|          | 31/7829 [00:01<06:10, 21.06it/s, loss=0.8935, hdr=0.0120, cold=0.0411]
Stage2 Cold 1/80:   0%|          | 31/7829 [00:02<06:10, 21.06it/s, loss=0.8844, hdr=0.0107, cold=0.0481]
Stage2 Cold 1/80:   0%|          | 34/7829 [00:02<06:09, 21.12it/s, loss=0.8844, hdr=0.0107, cold=0.0481]
Stage2 Cold 1/80:   0%|          | 34/7829 [00:02<06:09, 21.12it/s, loss=0.8816, hdr=0.0049, cold=0.0395]
Stage2 Cold 1/80:   0%|          | 34/7829 [00:02<06:09, 21.12it/s, loss=0.8765, hdr=0.0109, cold=0.0519]
Stage2 Cold 1/80:   0%|          | 34/7829 [00:02<06:09, 21.12it/s, loss=0.8700, hdr=0.0172, cold=0.0569]
Stage2 Cold 1/80:   0%|          | 37/7829 [00:02<06:06, 21.29it/s, loss=0.8700, hdr=0.0172, cold=0.0569]
Stage2 Cold 1/80:   0%|          | 37/7829 [00:02<06:06, 21.29it/s, loss=0.8632, hdr=0.0044, cold=0.0398]
Stage2 Cold 1/80:   0%|          | 37/7829 [00:02<06:06, 21.29it/s, loss=0.8582, hdr=0.0144, cold=0.0396]
Stage2 Cold 1/80:   0%|          | 37/7829 [00:02<06:06, 21.29it/s, loss=0.8474, hdr=0.0097, cold=0.0538]
Stage2 Cold 1/80:   1%|          | 40/7829 [00:02<06:03, 21.45it/s, loss=0.8474, hdr=0.0097, cold=0.0538]
Stage2 Cold 1/80:   1%|          | 40/7829 [00:02<06:03, 21.45it/s, loss=0.8469, hdr=0.0100, cold=0.0332]
Stage2 Cold 1/80:   1%|          | 40/7829 [00:02<06:03, 21.45it/s, loss=0.8376, hdr=0.0126, cold=0.0742]
Stage2 Cold 1/80:   1%|          | 40/7829 [00:02<06:03, 21.45it/s, loss=0.8390, hdr=0.0074, cold=0.0156]
Stage2 Cold 1/80:   1%|          | 43/7829 [00:02<06:01, 21.56it/s, loss=0.8390, hdr=0.0074, cold=0.0156]
Stage2 Cold 1/80:   1%|          | 43/7829 [00:02<06:01, 21.56it/s, loss=0.8326, hdr=0.0063, cold=0.0572]
Stage2 Cold 1/80:   1%|          | 43/7829 [00:02<06:01, 21.56it/s, loss=0.8263, hdr=0.0073, cold=0.0660]
Stage2 Cold 1/80:   1%|          | 43/7829 [00:02<06:01, 21.56it/s, loss=0.8258, hdr=0.0100, cold=0.0389]
Stage2 Cold 1/80:   1%|          | 46/7829 [00:02<05:59, 21.63it/s, loss=0.8258, hdr=0.0100, cold=0.0389]
Stage2 Cold 1/80:   1%|          | 46/7829 [00:02<05:59, 21.63it/s, loss=0.8234, hdr=0.0087, cold=0.0593]
Stage2 Cold 1/80:   1%|          | 46/7829 [00:02<05:59, 21.63it/s, loss=0.8176, hdr=0.0124, cold=0.0487]
Stage2 Cold 1/80:   1%|          | 46/7829 [00:02<05:59, 21.63it/s, loss=0.8167, hdr=0.0058, cold=0.0048]
Stage2 Cold 1/80:   1%|          | 49/7829 [00:02<05:59, 21.64it/s, loss=0.8167, hdr=0.0058, cold=0.0048]
Stage2 Cold 1/80:   1%|          | 49/7829 [00:02<05:59, 21.64it/s, loss=0.8148, hdr=0.0046, cold=0.0325]
Stage2 Cold 1/80:   1%|          | 49/7829 [00:02<05:59, 21.64it/s, loss=0.8136, hdr=0.0201, cold=0.0315]
Stage2 Cold 1/80:   1%|          | 49/7829 [00:02<05:59, 21.64it/s, loss=0.8123, hdr=0.0130, cold=0.0409]
Stage2 Cold 1/80:   1%|          | 52/7829 [00:02<06:36, 19.64it/s, loss=0.8123, hdr=0.0130, cold=0.0409]
Stage2 Cold 1/80:   1%|          | 52/7829 [00:02<06:36, 19.64it/s, loss=0.8223, hdr=0.4960, cold=0.0417]
Stage2 Cold 1/80:   1%|          | 52/7829 [00:02<06:36, 19.64it/s, loss=0.8210, hdr=0.0050, cold=0.0511]
Stage2 Cold 1/80:   1%|          | 52/7829 [00:03<06:36, 19.64it/s, loss=0.8216, hdr=0.0162, cold=0.0035]
Stage2 Cold 1/80:   1%|          | 55/7829 [00:03<06:23, 20.26it/s, loss=0.8216, hdr=0.0162, cold=0.0035]
Stage2 Cold 1/80:   1%|          | 55/7829 [00:03<06:23, 20.26it/s, loss=0.8226, hdr=0.0105, cold=0.0160]
Stage2 Cold 1/80:   1%|          | 55/7829 [00:03<06:23, 20.26it/s, loss=0.8188, hdr=0.0143, cold=0.0520]
