WRN 2026-07-03T15:59:35.045 ui.66269   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-03T15:59:35.046 ui.66269   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-03T15:59:35.046 ui.66269   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-03T15:59:35.046 ui.66269   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-03T15:59:35.046 ui.66269   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-03T16:02:49.449 ui.70649   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-03T16:02:49.449 ui.70649   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-03T16:02:49.450 ui.70649   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-03T16:02:49.450 ui.70649   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-03T16:02:49.450 ui.70649   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-03T16:07:47.838 ui.74918   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-03T16:07:47.838 ui.74918   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-03T16:07:47.838 ui.74918   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-03T16:07:47.838 ui.74918   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-03T16:07:47.838 ui.74918   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-03T22:28:55.846 ui.12112   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-03T22:28:55.846 ui.12112   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-03T22:28:55.846 ui.12112   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-03T22:28:55.846 ui.12112   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-03T22:28:55.846 ui.12112   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
